userId,first_name,last_name,email,mobilePlanId,name,description,price,data_limit,call_minutes,sms_count,orderId,user_id,mobile_plan_id,created_at,paymentId,order_id,amount,created_at,method,status,subscriptionId,user_id,plan_id,start_date,end_date,status
11,Jane,Smith,jane.smith11@example.com,11,Plan11,Description for Plan11,134,6,190,54,11,993,574,2025-02-26 16:23:00,11,762,317.97,2024-05-01 15:12:36,PAYPAL,REFUNDED,11,974,365,2024-05-07,2024-06-01,EXPIRED
12,John,Johnson,john.johnson12@example.com,12,Plan12,Description for Plan12,74,4,153,96,12,376,23,2024-10-30 18:49:54,12,414,349.12,2024-04-07 01:05:09,BANK_TRANSFER,PENDING,12,267,134,2025-03-24,2025-04-07,CANCELLED
13,Alice,Johnson,alice.johnson13@example.com,13,Plan13,Description for Plan13,77,3,125,65,13,492,548,2024-06-09 05:21:19,13,409,220.79,2024-10-15 10:51:59,PAYPAL,PENDING,13,369,872,2024-04-18,2024-05-15,ACTIVE
14,Jane,Smith,jane.smith14@example.com,14,Plan14,Description for Plan14,55,5,342,58,14,446,501,2024-09-20 08:44:21,14,898,180.58,2024-05-05 08:26:48,PAYPAL,FAILED,14,742,439,2024-07-03,2024-07-24,EXPIRED
15,Jane,Doe,jane.doe15@example.com,15,Plan15,Description for Plan15,148,8,119,95,15,367,286,2024-10-19 01:00:40,15,834,407.41,2024-08-05 01:28:52,CREDIT_CARD,COMPLETED,15,394,406,2025-04-02,2025-04-27,ACTIVE
16,Jane,Johnson,jane.johnson16@example.com,16,Plan16,Description for Plan16,101,10,146,87,16,942,14,2024-04-22 14:36:00,16,536,438.56,2025-01-26 01:12:52,BANK_TRANSFER,REFUNDED,16,204,130,2024-06-11,2024-06-21,CANCELLED
17,Bob,Smith,bob.smith17@example.com,17,Plan17,Description for Plan17,75,6,169,66,17,745,283,2024-10-13 14:17:21,17,466,303.74,2024-09-16 18:54:11,BANK_TRANSFER,REFUNDED,17,51,838,2024-12-06,2024-12-16,CANCELLED
18,Bob,Johnson,bob.johnson18@example.com,18,Plan18,Description for Plan18,75,7,361,58,18,171,249,2024-07-29 02:57:21,18,467,334.97,2024-08-22 23:47:30,CREDIT_CARD,REFUNDED,18,394,91,2024-12-18,2025-01-02,ACTIVE
19,John,Smith,john.smith19@example.com,19,Plan19,Description for Plan19,93,9,303,71,19,464,184,2024-12-31 18:39:11,19,545,79.24,2024-09-29 03:56:07,CREDIT_CARD,REFUNDED,19,10,107,2024-07-05,2024-07-26,ACTIVE
20,Jane,Johnson,jane.johnson20@example.com,20,Plan20,Description for Plan20,143,3,339,91,20,775,14,2024-11-09 19:55:27,20,750,55.88,2024-07-07 10:00:56,BANK_TRANSFER,REFUNDED,20,859,437,2024-10-06,2024-10-17,EXPIRED
21,Bob,Smith,bob.smith21@example.com,21,Plan21,Description for Plan21,70,4,204,74,21,741,465,2024-04-05 04:56:06,21,793,423.15,2024-10-23 22:04:06,PAYPAL,FAILED,21,790,33,2024-12-29,2025-01-16,CANCELLED
22,Alice,Smith,alice.smith22@example.com,22,Plan22,Description for Plan22,92,7,257,86,22,715,718,2024-07-18 22:55:44,22,734,499.60,2025-03-15 18:25:42,BANK_TRANSFER,REFUNDED,22,938,306,2024-06-13,2024-06-16,EXPIRED
23,John,Doe,john.doe23@example.com,23,Plan23,Description for Plan23,101,5,266,62,23,885,148,2024-08-08 02:42:05,23,335,106.25,2024-12-28 10:50:52,BANK_TRANSFER,PENDING,23,816,805,2024-09-12,2024-10-11,CANCELLED
24,Jane,Doe,jane.doe24@example.com,24,Plan24,Description for Plan24,147,3,103,62,24,105,754,2025-03-19 11:31:25,24,419,180.22,2024-09-29 17:48:06,CREDIT_CARD,REFUNDED,24,33,992,2024-08-26,2024-09-24,ACTIVE
25,Jane,Doe,jane.doe25@example.com,25,Plan25,Description for Plan25,70,2,162,73,25,284,91,2024-05-17 04:15:03,25,311,327.24,2024-12-08 03:13:28,PAYPAL,REFUNDED,25,185,905,2024-12-15,2025-01-12,CANCELLED
26,John,Brown,john.brown26@example.com,26,Plan26,Description for Plan26,126,2,153,67,26,485,921,2024-12-23 01:04:45,26,218,140.91,2024-06-16 21:55:16,CREDIT_CARD,FAILED,26,416,611,2024-06-22,2024-06-28,ACTIVE
27,Jane,Johnson,jane.johnson27@example.com,27,Plan27,Description for Plan27,120,3,243,86,27,117,628,2024-05-14 09:57:11,27,303,212.71,2024-09-24 23:32:20,PAYPAL,PENDING,27,522,539,2025-01-24,2025-02-09,CANCELLED
28,Alice,Johnson,alice.johnson28@example.com,28,Plan28,Description for Plan28,136,3,132,67,28,170,193,2025-02-08 11:09:27,28,305,100.66,2024-09-11 05:14:30,BANK_TRANSFER,REFUNDED,28,121,427,2024-06-23,2024-06-28,CANCELLED
29,Jane,Doe,jane.doe29@example.com,29,Plan29,Description for Plan29,128,6,304,61,29,548,790,2025-02-28 13:49:17,29,886,239.04,2024-04-25 17:45:38,PAYPAL,PENDING,29,37,832,2024-07-01,2024-07-09,CANCELLED
30,Bob,Johnson,bob.johnson30@example.com,30,Plan30,Description for Plan30,126,7,253,69,30,496,113,2024-05-12 00:15:16,30,261,124.08,2025-01-25 16:55:36,PAYPAL,COMPLETED,30,863,298,2024-10-07,2024-10-24,EXPIRED
31,John,Johnson,john.johnson31@example.com,31,Plan31,Description for Plan31,111,9,321,92,31,868,138,2024-12-26 23:00:04,31,819,52.83,2024-11-13 16:24:50,BANK_TRANSFER,FAILED,31,75,506,2024-06-19,2024-07-04,EXPIRED
32,Alice,Johnson,alice.johnson32@example.com,32,Plan32,Description for Plan32,148,3,181,55,32,195,552,2024-09-14 07:15:06,32,545,209.33,2024-11-21 10:45:20,BANK_TRANSFER,PENDING,32,967,180,2024-12-20,2024-12-27,EXPIRED
33,Bob,Johnson,bob.johnson33@example.com,33,Plan33,Description for Plan33,147,10,177,72,33,236,364,2024-09-04 13:51:42,33,887,406.73,2025-03-08 19:06:20,CREDIT_CARD,FAILED,33,768,748,2024-12-29,2025-01-10,CANCELLED
34,Alice,Brown,alice.brown34@example.com,34,Plan34,Description for Plan34,60,2,366,78,34,408,526,2024-11-13 04:06:05,34,847,246.37,2025-01-12 10:44:54,BANK_TRANSFER,COMPLETED,34,975,787,2024-11-29,2024-12-15,CANCELLED
35,Jane,Johnson,jane.johnson35@example.com,35,Plan35,Description for Plan35,143,4,122,78,35,572,180,2024-09-17 16:50:00,35,951,126.57,2024-11-04 01:07:08,BANK_TRANSFER,FAILED,35,472,870,2024-11-04,2024-11-13,ACTIVE
36,John,Smith,john.smith36@example.com,36,Plan36,Description for Plan36,93,5,276,58,36,8,342,2024-07-09 11:14:58,36,479,60.06,2025-01-14 18:08:46,PAYPAL,COMPLETED,36,116,31,2024-07-22,2024-07-27,EXPIRED
37,John,Smith,john.smith37@example.com,37,Plan37,Description for Plan37,74,5,183,87,37,565,142,2024-07-09 03:54:37,37,566,489.30,2025-03-21 15:14:15,BANK_TRANSFER,REFUNDED,37,397,650,2024-06-15,2024-07-06,ACTIVE
38,Alice,Brown,alice.brown38@example.com,38,Plan38,Description for Plan38,108,3,145,85,38,151,412,2024-05-06 05:01:48,38,292,47.90,2025-03-28 09:11:50,PAYPAL,PENDING,38,663,230,2024-12-02,2024-12-03,CANCELLED
39,Jane,Johnson,jane.johnson39@example.com,39,Plan39,Description for Plan39,143,4,201,70,39,638,314,2025-02-07 16:20:21,39,499,93.82,2024-07-05 10:28:59,PAYPAL,FAILED,39,360,769,2025-03-24,2025-03-31,ACTIVE
40,John,Smith,john.smith40@example.com,40,Plan40,Description for Plan40,98,3,385,93,40,846,953,2024-05-08 04:17:38,40,869,493.53,2025-01-04 06:16:21,CREDIT_CARD,COMPLETED,40,391,685,2025-03-25,2025-04-02,EXPIRED
41,John,Johnson,john.johnson41@example.com,41,Plan41,Description for Plan41,87,5,170,57,41,68,728,2025-03-28 03:32:10,41,271,237.77,2024-05-20 05:04:47,BANK_TRANSFER,COMPLETED,41,92,626,2024-09-07,2024-09-11,EXPIRED
42,John,Johnson,john.johnson42@example.com,42,Plan42,Description for Plan42,136,10,350,89,42,300,383,2024-09-30 09:01:09,42,300,488.21,2024-12-20 09:03:14,BANK_TRANSFER,COMPLETED,42,906,811,2024-10-19,2024-10-25,CANCELLED
43,John,Smith,john.smith43@example.com,43,Plan43,Description for Plan43,77,4,204,74,43,201,4,2024-08-05 21:28:39,43,58,164.25,2025-04-03 18:39:44,BANK_TRANSFER,COMPLETED,43,107,64,2024-04-15,2024-05-12,CANCELLED
44,Alice,Brown,alice.brown44@example.com,44,Plan44,Description for Plan44,86,3,192,87,44,203,163,2024-05-20 01:26:48,44,538,496.44,2024-10-22 17:22:18,PAYPAL,FAILED,44,476,878,2024-12-17,2025-01-10,ACTIVE
45,Alice,Johnson,alice.johnson45@example.com,45,Plan45,Description for Plan45,116,8,214,72,45,365,193,2024-09-10 16:03:20,45,732,375.16,2024-12-06 03:02:04,BANK_TRANSFER,COMPLETED,45,744,695,2025-02-14,2025-02-28,CANCELLED
46,Jane,Johnson,jane.johnson46@example.com,46,Plan46,Description for Plan46,140,10,149,91,46,815,967,2024-05-05 16:45:06,46,129,467.87,2024-05-21 04:51:47,BANK_TRANSFER,COMPLETED,46,514,949,2024-05-09,2024-06-06,CANCELLED
47,Alice,Johnson,alice.johnson47@example.com,47,Plan47,Description for Plan47,92,9,149,75,47,490,830,2025-01-21 00:09:45,47,431,483.14,2025-02-23 12:53:02,PAYPAL,FAILED,47,692,35,2024-07-25,2024-08-19,ACTIVE
48,Bob,Smith,bob.smith48@example.com,48,Plan48,Description for Plan48,139,10,114,81,48,114,297,2024-12-29 19:31:54,48,550,299.11,2024-06-13 19:41:17,CREDIT_CARD,FAILED,48,81,657,2024-06-06,2024-06-17,ACTIVE
49,Alice,Brown,alice.brown49@example.com,49,Plan49,Description for Plan49,62,7,208,58,49,169,330,2024-07-27 07:11:39,49,798,404.87,2025-03-05 18:31:25,PAYPAL,REFUNDED,49,868,662,2024-09-07,2024-10-03,ACTIVE
50,Alice,Doe,alice.doe50@example.com,50,Plan50,Description for Plan50,92,6,307,64,50,786,35,2024-06-04 12:04:12,50,532,139.91,2024-05-07 16:27:59,PAYPAL,REFUNDED,50,144,305,2024-10-17,2024-10-17,ACTIVE
51,Alice,Smith,alice.smith51@example.com,51,Plan51,Description for Plan51,82,7,124,99,51,50,469,2024-06-17 21:29:27,51,55,454.90,2024-05-21 09:27:03,BANK_TRANSFER,COMPLETED,51,775,468,2024-07-20,2024-08-12,CANCELLED
52,Bob,Doe,bob.doe52@example.com,52,Plan52,Description for Plan52,91,6,247,72,52,188,567,2024-07-17 06:47:48,52,45,193.39,2024-04-21 03:22:49,PAYPAL,COMPLETED,52,276,544,2024-08-17,2024-09-11,ACTIVE
53,Bob,Smith,bob.smith53@example.com,53,Plan53,Description for Plan53,67,5,129,92,53,224,148,2025-02-02 21:48:14,53,192,45.71,2024-12-23 17:16:39,BANK_TRANSFER,FAILED,53,557,139,2024-09-11,2024-09-22,ACTIVE
54,Alice,Brown,alice.brown54@example.com,54,Plan54,Description for Plan54,129,1,146,58,54,793,159,2024-11-11 06:28:06,54,180,267.42,2025-03-12 23:36:32,PAYPAL,PENDING,54,385,205,2024-05-23,2024-05-29,EXPIRED
55,Jane,Brown,jane.brown55@example.com,55,Plan55,Description for Plan55,135,8,251,93,55,963,288,2024-12-15 23:43:14,55,641,245.15,2024-11-21 09:07:58,PAYPAL,COMPLETED,55,178,964,2024-11-16,2024-11-30,EXPIRED
56,Bob,Smith,bob.smith56@example.com,56,Plan56,Description for Plan56,58,6,244,67,56,806,735,2024-12-08 00:57:50,56,21,30.13,2024-06-18 19:13:14,BANK_TRANSFER,COMPLETED,56,374,383,2025-01-13,2025-02-06,CANCELLED
57,Jane,Smith,jane.smith57@example.com,57,Plan57,Description for Plan57,75,7,108,51,57,599,748,2024-11-03 22:10:23,57,260,273.86,2024-12-07 13:13:23,CREDIT_CARD,REFUNDED,57,778,153,2024-05-21,2024-06-04,ACTIVE
58,Bob,Doe,bob.doe58@example.com,58,Plan58,Description for Plan58,115,7,332,75,58,338,928,2024-06-01 07:20:55,58,429,469.76,2025-01-30 14:08:26,BANK_TRANSFER,PENDING,58,417,875,2024-09-21,2024-09-27,ACTIVE
59,Bob,Smith,bob.smith59@example.com,59,Plan59,Description for Plan59,76,10,256,51,59,98,313,2025-03-16 06:28:46,59,210,278.90,2024-07-15 20:50:11,BANK_TRANSFER,REFUNDED,59,15,58,2024-12-08,2024-12-09,ACTIVE
60,Alice,Smith,alice.smith60@example.com,60,Plan60,Description for Plan60,144,1,186,51,60,689,129,2024-11-21 11:50:45,60,830,493.55,2025-01-27 20:25:08,PAYPAL,FAILED,60,194,668,2024-04-21,2024-05-07,EXPIRED
61,John,Brown,john.brown61@example.com,61,Plan61,Description for Plan61,143,2,203,96,61,187,161,2025-02-11 20:09:09,61,453,396.25,2024-10-29 06:11:38,BANK_TRANSFER,COMPLETED,61,438,424,2024-06-01,2024-06-16,ACTIVE
62,Alice,Brown,alice.brown62@example.com,62,Plan62,Description for Plan62,51,7,222,79,62,214,819,2024-06-24 10:59:37,62,521,62.02,2024-06-02 17:45:18,CREDIT_CARD,COMPLETED,62,428,469,2024-06-05,2024-06-27,EXPIRED
63,Bob,Smith,bob.smith63@example.com,63,Plan63,Description for Plan63,64,8,181,78,63,478,412,2024-10-07 00:58:55,63,502,27.33,2024-04-20 22:25:23,BANK_TRANSFER,COMPLETED,63,80,453,2024-11-26,2024-11-30,ACTIVE
64,Jane,Johnson,jane.johnson64@example.com,64,Plan64,Description for Plan64,110,4,224,94,64,21,386,2024-04-22 19:35:00,64,22,217.84,2025-03-10 08:56:48,BANK_TRANSFER,REFUNDED,64,245,150,2024-04-11,2024-05-04,ACTIVE
65,Bob,Johnson,bob.johnson65@example.com,65,Plan65,Description for Plan65,66,6,166,88,65,748,121,2024-09-30 21:14:40,65,611,167.54,2025-01-28 11:18:13,CREDIT_CARD,COMPLETED,65,484,934,2024-11-22,2024-12-12,EXPIRED
66,Bob,Smith,bob.smith66@example.com,66,Plan66,Description for Plan66,93,7,314,82,66,197,483,2024-09-30 02:42:50,66,853,189.11,2024-09-03 13:53:36,PAYPAL,PENDING,66,527,200,2024-06-23,2024-06-30,EXPIRED
67,Alice,Doe,alice.doe67@example.com,67,Plan67,Description for Plan67,80,5,286,94,67,559,221,2024-07-27 22:35:06,67,993,47.93,2024-05-31 10:47:32,PAYPAL,FAILED,67,394,383,2024-04-28,2024-04-28,ACTIVE
68,Bob,Johnson,bob.johnson68@example.com,68,Plan68,Description for Plan68,69,5,271,64,68,476,599,2024-07-26 05:40:05,68,381,50.17,2024-10-21 09:02:49,PAYPAL,PENDING,68,855,463,2024-07-04,2024-07-31,CANCELLED
69,John,Doe,john.doe69@example.com,69,Plan69,Description for Plan69,55,7,346,56,69,851,817,2024-08-21 01:59:12,69,965,22.81,2024-09-15 02:41:09,BANK_TRANSFER,FAILED,69,130,473,2024-05-23,2024-05-27,CANCELLED
70,Alice,Smith,alice.smith70@example.com,70,Plan70,Description for Plan70,77,5,355,95,70,701,315,2025-03-13 19:21:43,70,387,478.57,2024-05-12 12:22:17,CREDIT_CARD,COMPLETED,70,867,907,2024-07-19,2024-07-28,CANCELLED
71,John,Smith,john.smith71@example.com,71,Plan71,Description for Plan71,114,8,212,88,71,279,43,2025-01-30 23:49:33,71,979,333.33,2024-08-07 12:50:29,PAYPAL,REFUNDED,71,282,290,2024-11-08,2024-11-22,EXPIRED
72,Alice,Johnson,alice.johnson72@example.com,72,Plan72,Description for Plan72,149,5,101,69,72,533,816,2024-04-16 23:17:08,72,308,142.76,2025-02-03 22:10:13,PAYPAL,FAILED,72,705,643,2024-05-03,2024-05-16,CANCELLED
73,John,Doe,john.doe73@example.com,73,Plan73,Description for Plan73,96,1,138,92,73,347,804,2024-04-22 07:23:12,73,265,461.11,2024-09-11 05:25:36,PAYPAL,REFUNDED,73,54,465,2024-11-08,2024-11-14,CANCELLED
74,Jane,Smith,jane.smith74@example.com,74,Plan74,Description for Plan74,85,6,119,71,74,284,989,2024-10-25 14:23:51,74,143,23.84,2024-07-02 22:27:34,CREDIT_CARD,FAILED,74,594,783,2024-12-17,2024-12-24,CANCELLED
75,Jane,Johnson,jane.johnson75@example.com,75,Plan75,Description for Plan75,93,8,359,60,75,916,113,2024-09-21 01:07:37,75,913,281.95,2024-07-08 07:38:53,PAYPAL,FAILED,75,42,644,2024-09-13,2024-09-14,CANCELLED
76,Alice,Doe,alice.doe76@example.com,76,Plan76,Description for Plan76,130,10,232,72,76,734,399,2024-08-14 00:07:54,76,933,176.10,2024-07-13 08:22:52,BANK_TRANSFER,PENDING,76,85,415,2024-11-18,2024-12-09,CANCELLED
77,Jane,Doe,jane.doe77@example.com,77,Plan77,Description for Plan77,120,10,384,70,77,411,320,2024-11-16 19:51:02,77,551,160.84,2024-08-01 16:52:42,PAYPAL,FAILED,77,827,232,2025-03-13,2025-03-17,CANCELLED
78,Jane,Smith,jane.smith78@example.com,78,Plan78,Description for Plan78,109,1,141,54,78,569,995,2024-07-21 11:56:19,78,224,202.78,2025-01-23 20:35:17,BANK_TRANSFER,COMPLETED,78,136,942,2024-06-25,2024-07-08,CANCELLED
79,John,Brown,john.brown79@example.com,79,Plan79,Description for Plan79,117,4,239,69,79,523,537,2024-05-20 23:40:26,79,952,360.01,2024-08-04 13:13:22,CREDIT_CARD,FAILED,79,172,852,2024-09-29,2024-10-08,CANCELLED
80,Alice,Doe,alice.doe80@example.com,80,Plan80,Description for Plan80,78,6,111,87,80,353,528,2024-12-24 22:43:08,80,550,164.70,2024-09-23 21:19:59,CREDIT_CARD,COMPLETED,80,169,173,2024-05-24,2024-05-28,EXPIRED
81,John,Brown,john.brown81@example.com,81,Plan81,Description for Plan81,80,9,280,92,81,865,422,2024-08-10 05:58:11,81,580,156.56,2024-09-15 23:09:50,BANK_TRANSFER,REFUNDED,81,189,563,2024-07-20,2024-08-13,CANCELLED
82,John,Johnson,john.johnson82@example.com,82,Plan82,Description for Plan82,109,5,306,64,82,206,212,2025-03-31 11:42:51,82,669,424.55,2025-01-11 20:31:05,CREDIT_CARD,COMPLETED,82,130,845,2024-12-25,2025-01-12,ACTIVE
83,Bob,Brown,bob.brown83@example.com,83,Plan83,Description for Plan83,128,9,202,71,83,518,33,2024-07-19 00:30:37,83,261,417.72,2024-10-01 00:24:51,CREDIT_CARD,COMPLETED,83,997,804,2025-04-01,2025-04-25,CANCELLED
84,Bob,Brown,bob.brown84@example.com,84,Plan84,Description for Plan84,128,7,177,82,84,511,33,2025-02-08 05:18:36,84,120,426.61,2025-03-08 02:12:56,CREDIT_CARD,COMPLETED,84,371,37,2024-04-07,2024-05-01,EXPIRED
85,Alice,Brown,alice.brown85@example.com,85,Plan85,Description for Plan85,145,3,238,74,85,336,993,2024-11-05 07:42:51,85,970,138.15,2024-08-16 16:32:44,PAYPAL,FAILED,85,432,903,2024-12-20,2025-01-16,CANCELLED
86,John,Johnson,john.johnson86@example.com,86,Plan86,Description for Plan86,118,4,271,84,86,992,251,2024-06-30 16:35:04,86,305,411.78,2024-09-12 06:45:12,CREDIT_CARD,FAILED,86,890,99,2024-09-20,2024-10-17,EXPIRED
87,Bob,Doe,bob.doe87@example.com,87,Plan87,Description for Plan87,146,2,376,86,87,167,984,2024-05-12 17:42:48,87,136,334.34,2024-10-21 22:02:45,BANK_TRANSFER,FAILED,87,115,231,2024-04-13,2024-04-20,EXPIRED
88,Alice,Smith,alice.smith88@example.com,88,Plan88,Description for Plan88,104,6,202,96,88,71,576,2025-01-11 16:58:58,88,335,198.03,2024-11-05 01:37:56,BANK_TRANSFER,FAILED,88,269,419,2024-06-26,2024-07-01,EXPIRED
89,Alice,Brown,alice.brown89@example.com,89,Plan89,Description for Plan89,55,8,179,54,89,611,819,2024-10-13 13:00:49,89,284,67.54,2025-01-08 23:27:08,BANK_TRANSFER,PENDING,89,68,166,2024-05-08,2024-05-23,CANCELLED
90,Alice,Doe,alice.doe90@example.com,90,Plan90,Description for Plan90,56,3,219,99,90,957,85,2024-11-17 11:17:05,90,212,73.83,2024-07-28 04:08:59,PAYPAL,REFUNDED,90,968,818,2024-10-29,2024-11-01,EXPIRED
91,Alice,Brown,alice.brown91@example.com,91,Plan91,Description for Plan91,128,6,345,64,91,426,439,2024-07-14 06:33:18,91,239,406.19,2024-09-23 21:06:08,CREDIT_CARD,FAILED,91,599,546,2024-12-01,2024-12-04,CANCELLED
92,Alice,Brown,alice.brown92@example.com,92,Plan92,Description for Plan92,133,9,104,84,92,303,10,2024-11-17 07:56:37,92,901,434.67,2024-08-14 23:10:21,BANK_TRANSFER,PENDING,92,706,693,2024-12-11,2025-01-04,ACTIVE
93,Jane,Smith,jane.smith93@example.com,93,Plan93,Description for Plan93,59,3,196,59,93,103,52,2024-09-14 22:22:55,93,910,295.26,2024-09-26 23:19:17,BANK_TRANSFER,COMPLETED,93,899,386,2025-03-19,2025-03-23,EXPIRED
94,Bob,Doe,bob.doe94@example.com,94,Plan94,Description for Plan94,132,4,373,56,94,204,521,2024-05-12 20:17:16,94,544,281.23,2024-12-02 18:06:07,BANK_TRANSFER,PENDING,94,170,787,2024-04-16,2024-05-01,EXPIRED
95,Alice,Brown,alice.brown95@example.com,95,Plan95,Description for Plan95,101,9,229,77,95,774,249,2024-05-06 16:52:16,95,799,78.65,2024-06-18 22:46:45,PAYPAL,PENDING,95,132,76,2024-06-03,2024-06-09,EXPIRED
96,Alice,Brown,alice.brown96@example.com,96,Plan96,Description for Plan96,77,10,275,94,96,977,416,2024-06-02 13:04:48,96,463,122.34,2025-03-19 01:29:40,PAYPAL,PENDING,96,607,563,2024-06-29,2024-07-21,CANCELLED
97,John,Doe,john.doe97@example.com,97,Plan97,Description for Plan97,101,5,184,54,97,220,693,2024-09-08 12:10:09,97,899,188.91,2024-06-10 10:02:11,PAYPAL,COMPLETED,97,753,751,2024-10-24,2024-10-28,ACTIVE
98,Alice,Smith,alice.smith98@example.com,98,Plan98,Description for Plan98,110,6,163,94,98,296,39,2024-05-08 05:10:40,98,677,31.19,2024-06-28 09:22:40,PAYPAL,REFUNDED,98,636,748,2025-01-30,2025-02-04,CANCELLED
99,Jane,Johnson,jane.johnson99@example.com,99,Plan99,Description for Plan99,62,10,302,62,99,276,661,2024-04-14 10:24:11,99,213,338.44,2024-08-24 21:26:49,CREDIT_CARD,PENDING,99,605,183,2024-07-22,2024-08-18,CANCELLED
100,John,Smith,john.smith100@example.com,100,Plan100,Description for Plan100,54,7,139,71,100,816,288,2024-06-29 16:51:26,100,779,130.15,2024-08-18 10:02:27,PAYPAL,PENDING,100,490,975,2024-11-07,2024-12-06,ACTIVE
101,Jane,Johnson,jane.johnson101@example.com,101,Plan101,Description for Plan101,61,2,137,55,101,236,454,2024-09-17 08:12:45,101,273,48.30,2025-01-29 08:35:58,PAYPAL,REFUNDED,101,619,490,2024-04-11,2024-05-08,CANCELLED
102,Alice,Brown,alice.brown102@example.com,102,Plan102,Description for Plan102,115,1,183,99,102,45,380,2024-06-17 10:39:58,102,425,228.79,2025-03-20 21:35:07,CREDIT_CARD,REFUNDED,102,824,59,2024-11-11,2024-11-29,CANCELLED
103,Jane,Doe,jane.doe103@example.com,103,Plan103,Description for Plan103,121,3,271,62,103,390,225,2024-12-28 02:41:35,103,602,375.27,2025-03-19 04:04:49,CREDIT_CARD,FAILED,103,58,934,2024-08-01,2024-08-04,EXPIRED
104,John,Brown,john.brown104@example.com,104,Plan104,Description for Plan104,68,5,281,53,104,280,332,2024-12-19 02:01:35,104,300,201.11,2024-09-18 06:03:57,CREDIT_CARD,PENDING,104,294,877,2024-08-08,2024-09-01,CANCELLED
105,Alice,Doe,alice.doe105@example.com,105,Plan105,Description for Plan105,93,2,399,62,105,98,78,2025-01-23 05:04:54,105,520,57.50,2024-04-11 16:48:16,CREDIT_CARD,REFUNDED,105,440,541,2024-09-11,2024-10-07,ACTIVE
106,John,Doe,john.doe106@example.com,106,Plan106,Description for Plan106,111,7,185,53,106,817,786,2024-11-21 08:22:24,106,176,348.77,2024-12-29 00:27:11,PAYPAL,REFUNDED,106,71,97,2024-09-20,2024-10-03,CANCELLED
107,Jane,Smith,jane.smith107@example.com,107,Plan107,Description for Plan107,129,5,342,97,107,913,302,2024-12-28 04:09:31,107,124,322.32,2024-09-04 16:26:06,PAYPAL,PENDING,107,291,359,2024-07-10,2024-07-31,EXPIRED
108,Bob,Brown,bob.brown108@example.com,108,Plan108,Description for Plan108,71,8,165,72,108,896,844,2025-01-08 04:14:25,108,533,396.64,2024-07-26 03:27:19,CREDIT_CARD,FAILED,108,621,817,2024-05-31,2024-06-21,CANCELLED
109,Bob,Smith,bob.smith109@example.com,109,Plan109,Description for Plan109,52,8,150,60,109,860,737,2024-08-13 06:47:33,109,808,452.38,2024-08-09 10:02:00,CREDIT_CARD,COMPLETED,109,922,106,2024-10-07,2024-10-24,EXPIRED
